config_name,normalization,pca_variance,pca_components,kmeans_n_init,spectral_n_neighbors,spectral_affinity,method,ari,silhouette,umap_ari,umap_silhouette,embed_time,func,bins,range,harm_bins,harm_range,pol_bins,pol_range
harmonic_50_30,l2,0.95,27,10,10,nearest_neighbors,K-Means,0.0278128515614712,0.3422594107666294,0.03756453726948193,0.5546183,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,l2,0.95,27,10,10,nearest_neighbors,Spectral,0.03710753304148358,0.17050776600113493,0.035419659739072,0.49676564,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,l2,0.95,27,10,20,nearest_neighbors,K-Means,0.0278128515614712,0.3422594107666294,0.03756453726948193,0.5546183,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,l2,0.95,27,10,20,nearest_neighbors,Spectral,0.03959120750272416,0.22558322291678232,0.03976155350762886,0.5435676,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,l2,0.95,27,50,10,nearest_neighbors,K-Means,0.027917624199421988,0.3425706591680868,0.03756453726948193,0.5546183,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,l2,0.95,27,50,10,nearest_neighbors,Spectral,0.03710753304148358,0.17050776600113493,0.035419659739072,0.49676564,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,l2,0.95,27,50,20,nearest_neighbors,K-Means,0.027917624199421988,0.3425706591680868,0.03756453726948193,0.5546183,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,l2,0.95,27,50,20,nearest_neighbors,Spectral,0.03959120750272416,0.22558322291678232,0.03976155350762886,0.5435676,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,l2,0.99,42,10,10,nearest_neighbors,K-Means,0.027444038314077126,0.33033690362407775,0.03756453726948193,0.5546183,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,l2,0.99,42,10,10,nearest_neighbors,Spectral,0.03836787869562959,0.19951511624534896,0.035419659739072,0.49676564,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,l2,0.99,42,10,20,nearest_neighbors,K-Means,0.027444038314077126,0.33033690362407775,0.03756453726948193,0.5546183,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,l2,0.99,42,10,20,nearest_neighbors,Spectral,0.039946960264175414,0.21046602697864472,0.03976155350762886,0.5435676,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,l2,0.99,42,50,10,nearest_neighbors,K-Means,0.02799638018577727,0.3296876195549123,0.03756453726948193,0.5546183,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,l2,0.99,42,50,10,nearest_neighbors,Spectral,0.03836787869562959,0.19951511624534896,0.035419659739072,0.49676564,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,l2,0.99,42,50,20,nearest_neighbors,K-Means,0.02799638018577727,0.3296876195549123,0.03756453726948193,0.5546183,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,l2,0.99,42,50,20,nearest_neighbors,Spectral,0.039946960264175414,0.21046602697864472,0.03976155350762886,0.5435676,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.95,10,10,10,nearest_neighbors,K-Means,0.017427299544740302,0.42539512864382195,0.03812097182474293,0.50229704,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.95,10,10,10,nearest_neighbors,Spectral,0.04117030745690786,0.12007196531780243,0.044971012329021315,0.4432864,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.95,10,10,20,nearest_neighbors,K-Means,0.017427299544740302,0.42539512864382195,0.03812097182474293,0.50229704,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.95,10,10,20,nearest_neighbors,Spectral,0.041201836472529306,0.14522719151244015,0.039981014940705065,0.49529022,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.95,10,50,10,nearest_neighbors,K-Means,0.016551175142992848,0.4311753164602745,0.04196727780159263,0.5004438,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.95,10,50,10,nearest_neighbors,Spectral,0.04117030745690786,0.12007196531780243,0.044971012329021315,0.4432864,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.95,10,50,20,nearest_neighbors,K-Means,0.016551175142992848,0.4311753164602745,0.04196727780159263,0.5004438,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.95,10,50,20,nearest_neighbors,Spectral,0.041201836472529306,0.14522719151244015,0.039981014940705065,0.49529022,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.99,30,10,10,nearest_neighbors,K-Means,0.016869399950990398,0.38484788362095423,0.03812097182474293,0.50229704,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.99,30,10,10,nearest_neighbors,Spectral,0.03871583119286095,0.06264998138471486,0.044971012329021315,0.4432864,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.99,30,10,20,nearest_neighbors,K-Means,0.016869399950990398,0.38484788362095423,0.03812097182474293,0.50229704,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.99,30,10,20,nearest_neighbors,Spectral,0.04016863442525571,0.060200309220140025,0.039981014940705065,0.49529022,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.99,30,50,10,nearest_neighbors,K-Means,0.016869399950990398,0.38484788362095423,0.04196727780159263,0.5004438,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.99,30,50,10,nearest_neighbors,Spectral,0.03871583119286095,0.06264998138471486,0.044971012329021315,0.4432864,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.99,30,50,20,nearest_neighbors,K-Means,0.016869399950990398,0.38484788362095423,0.04196727780159263,0.5004438,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,standard,0.99,30,50,20,nearest_neighbors,Spectral,0.04016863442525571,0.060200309220140025,0.039981014940705065,0.49529022,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.95,10,10,10,nearest_neighbors,K-Means,0.017427299544740302,0.425395128643822,0.03812097182474293,0.50229704,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.95,10,10,10,nearest_neighbors,Spectral,0.04117030745690786,0.12007196531780256,0.044971012329021315,0.4432864,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.95,10,10,20,nearest_neighbors,K-Means,0.017427299544740302,0.425395128643822,0.03812097182474293,0.50229704,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.95,10,10,20,nearest_neighbors,Spectral,0.041201836472529306,0.14522719151244015,0.039981014940705065,0.49529022,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.95,10,50,10,nearest_neighbors,K-Means,0.016551175142992848,0.43117531646027457,0.04196727780159263,0.5004438,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.95,10,50,10,nearest_neighbors,Spectral,0.04117030745690786,0.12007196531780256,0.044971012329021315,0.4432864,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.95,10,50,20,nearest_neighbors,K-Means,0.016551175142992848,0.43117531646027457,0.04196727780159263,0.5004438,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.95,10,50,20,nearest_neighbors,Spectral,0.041201836472529306,0.14522719151244015,0.039981014940705065,0.49529022,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.99,30,10,10,nearest_neighbors,K-Means,0.016869399950990398,0.3848478836209542,0.03812097182474293,0.50229704,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.99,30,10,10,nearest_neighbors,Spectral,0.03871583119286095,0.06264998138471488,0.044971012329021315,0.4432864,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.99,30,10,20,nearest_neighbors,K-Means,0.016869399950990398,0.3848478836209542,0.03812097182474293,0.50229704,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.99,30,10,20,nearest_neighbors,Spectral,0.04016863442525571,0.06020030922014004,0.039981014940705065,0.49529022,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.99,30,50,10,nearest_neighbors,K-Means,0.016869399950990398,0.3848478836209542,0.04196727780159263,0.5004438,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.99,30,50,10,nearest_neighbors,Spectral,0.03871583119286095,0.06264998138471488,0.044971012329021315,0.4432864,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.99,30,50,20,nearest_neighbors,K-Means,0.016869399950990398,0.3848478836209542,0.04196727780159263,0.5004438,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_50_30,none,0.99,30,50,20,nearest_neighbors,Spectral,0.04016863442525571,0.06020030922014004,0.039981014940705065,0.49529022,1.4433460235595703,harmonic,50.0,30.0,,,,
harmonic_100_30,l2,0.95,59,10,10,nearest_neighbors,K-Means,0.027949546153612018,0.2741987725266364,0.04111321788024711,0.5797814,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,l2,0.95,59,10,10,nearest_neighbors,Spectral,0.040502437878771363,0.17156518976780016,0.03332523400486216,0.5212956,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,l2,0.95,59,10,20,nearest_neighbors,K-Means,0.027949546153612018,0.2741987725266364,0.04111321788024711,0.5797814,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,l2,0.95,59,10,20,nearest_neighbors,Spectral,0.038309396936486134,0.1747618010540335,0.03332523400486216,0.5212956,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,l2,0.95,59,50,10,nearest_neighbors,K-Means,0.02819320514920691,0.2925187338948083,0.04111321788024711,0.5797814,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,l2,0.95,59,50,10,nearest_neighbors,Spectral,0.040502437878771363,0.17156518976780016,0.03332523400486216,0.5212956,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,l2,0.95,59,50,20,nearest_neighbors,K-Means,0.02819320514920691,0.2925187338948083,0.04111321788024711,0.5797814,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,l2,0.95,59,50,20,nearest_neighbors,Spectral,0.038309396936486134,0.1747618010540335,0.03332523400486216,0.5212956,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,l2,0.99,85,10,10,nearest_neighbors,K-Means,0.02921896539405248,0.2807013716117323,0.04111321788024711,0.5797814,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,l2,0.99,85,10,10,nearest_neighbors,Spectral,0.04027445519128126,0.1588139145291305,0.03332523400486216,0.5212956,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,l2,0.99,85,10,20,nearest_neighbors,K-Means,0.02921896539405248,0.2807013716117323,0.04111321788024711,0.5797814,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,l2,0.99,85,10,20,nearest_neighbors,Spectral,0.03871695066152422,0.16204579127620755,0.03332523400486216,0.5212956,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,l2,0.99,85,50,10,nearest_neighbors,K-Means,0.028422802153521262,0.281332171192553,0.04111321788024711,0.5797814,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,l2,0.99,85,50,10,nearest_neighbors,Spectral,0.04027445519128126,0.1588139145291305,0.03332523400486216,0.5212956,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,l2,0.99,85,50,20,nearest_neighbors,K-Means,0.028422802153521262,0.281332171192553,0.04111321788024711,0.5797814,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,l2,0.99,85,50,20,nearest_neighbors,Spectral,0.03871695066152422,0.16204579127620755,0.03332523400486216,0.5212956,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,standard,0.95,24,10,10,nearest_neighbors,K-Means,0.016803030747658397,0.38438598084699954,0.036301267216105396,0.46751657,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,standard,0.95,24,10,10,nearest_neighbors,Spectral,0.03736580139823633,0.07848705245822356,0.03847105865179738,0.39372364,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,standard,0.95,24,10,20,nearest_neighbors,K-Means,0.016803030747658397,0.38438598084699954,0.036301267216105396,0.46751657,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,standard,0.95,24,10,20,nearest_neighbors,Spectral,0.037634173412559,0.09086455538902599,0.03555653414731762,0.45924753,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,standard,0.95,24,50,10,nearest_neighbors,K-Means,0.014918139863867945,0.390278053147738,0.036301267216105396,0.46751657,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,standard,0.95,24,50,10,nearest_neighbors,Spectral,0.03736580139823633,0.07848705245822356,0.03847105865179738,0.39372364,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,standard,0.95,24,50,20,nearest_neighbors,K-Means,0.014918139863867945,0.390278053147738,0.036301267216105396,0.46751657,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,standard,0.95,24,50,20,nearest_neighbors,Spectral,0.037634173412559,0.09086455538902599,0.03555653414731762,0.45924753,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,standard,0.99,66,10,10,nearest_neighbors,K-Means,0.015996746224821147,0.35103583322526405,0.036301267216105396,0.46751657,1.3232238292694092,harmonic,100.0,30.0,,,,
harmonic_100_30,standard,0.99,66,10,10,nearest_neighbors,Spectral,0.037361512255746354,0.04206916526053159,0.03847105865179738,0.39372364,1.3232238292694092,harmonic,100.0,30.0,,,,
