classifier,train_accuracy,accuracy,f1_score,auc,train_time,func,bins,range,generation_time,memory_mb,embedding_dim
SVM (RBF),0.7450980392156863,0.36666666666666664,0.358191594297071,0.6758518518518518,0.24154376983642578,harmonic,50,30.3,3.9119839668273926,1.6713123321533203,50
Random Forest,1.0,0.43333333333333335,0.43082241034827246,0.7437037037037035,1.2525391578674316,harmonic,50,30.3,3.9119839668273926,1.6713123321533203,50
MLP,0.6529411764705882,0.36666666666666664,0.3627586047595209,0.7047407407407409,3.384329319000244,harmonic,50,30.3,3.9119839668273926,1.6713123321533203,50
SVM (RBF),0.8490196078431372,0.3111111111111111,0.3029322808909093,0.7017777777777777,0.3466074466705322,harmonic,100,30.3,3.1274631023406982,1.7711257934570312,100
Random Forest,1.0,0.4444444444444444,0.44307979953141235,0.7433333333333333,1.1379108428955078,harmonic,100,30.3,3.1274631023406982,1.7711257934570312,100
MLP,0.44509803921568625,0.32222222222222224,0.30821418240566306,0.6653333333333334,1.8828411102294922,harmonic,100,30.3,3.1274631023406982,1.7711257934570312,100
SVM (RBF),0.907843137254902,0.45555555555555555,0.4507496917936622,0.7211851851851852,0.44906091690063477,harmonic,150,30.3,3.502145528793335,2.069535255432129,150
Random Forest,1.0,0.4111111111111111,0.4124633377066636,0.7268888888888889,1.1401300430297852,harmonic,150,30.3,3.502145528793335,2.069535255432129,150
MLP,0.38235294117647056,0.23333333333333334,0.1826099582184775,0.6472592592592593,3.0952601432800293,harmonic,150,30.3,3.502145528793335,2.069535255432129,150
SVM (RBF),0.884313725490196,0.34444444444444444,0.3316771011268165,0.6577777777777778,0.30076122283935547,polynomial,50,3.81,3.752493143081665,1.6008939743041992,50
Random Forest,1.0,0.5,0.49920350457984874,0.7753333333333332,1.095855712890625,polynomial,50,3.81,3.752493143081665,1.6008939743041992,50
MLP,0.8470588235294118,0.3888888888888889,0.38813428813428813,0.7263703703703703,5.389909505844116,polynomial,50,3.81,3.752493143081665,1.6008939743041992,50
SVM (RBF),0.9803921568627451,0.45555555555555555,0.4534151034151034,0.6714074074074073,0.40381360054016113,polynomial,100,3.81,3.330456018447876,1.7767515182495117,100
Random Forest,1.0,0.5333333333333333,0.5338587848932678,0.776,1.0817656517028809,polynomial,100,3.81,3.330456018447876,1.7767515182495117,100
MLP,0.4588235294117647,0.32222222222222224,0.31645885763948683,0.672,1.926011562347412,polynomial,100,3.81,3.330456018447876,1.7767515182495117,100
SVM (RBF),0.9980392156862745,0.35555555555555557,0.3521570397596901,0.669037037037037,0.5776717662811279,polynomial,150,3.81,4.021844387054443,2.0947675704956055,150
Random Forest,1.0,0.5444444444444444,0.5395044391663729,0.7845185185185187,1.2267727851867676,polynomial,150,3.81,4.021844387054443,2.0947675704956055,150
MLP,0.807843137254902,0.4,0.39547943200117114,0.7225185185185186,2.4281980991363525,polynomial,150,3.81,4.021844387054443,2.0947675704956055,150
