func,binwidth,bins,range,embedding_dim,generation_time,memory_mb,classifier,accuracy,f1_score
harmonic,0.05,606,30.3,609,2.970905303955078,5.757315635681152,Random Forest,0.43333333333333335,0.4343989760702775
harmonic,0.1,303,30.3,306,2.8680453300476074,3.2741594314575195,Random Forest,0.5,0.5005215105494011
harmonic,0.2,151,30.3,154,3.1566457748413086,2.077511787414551,Random Forest,0.5111111111111111,0.511213162086818
harmonic,0.5,60,30.3,63,2.812636613845825,1.6190176010131836,Random Forest,0.4444444444444444,0.44844764484233174
harmonic,1.0,30,30.3,33,2.72819185256958,1.513503074645996,Random Forest,0.4666666666666667,0.4688507326007326
polynomial,0.05,76,3.81,79,2.7717714309692383,1.6923398971557617,Random Forest,0.5666666666666667,0.5605788982259571
polynomial,0.1,38,3.81,41,2.762418031692505,1.5586881637573242,Random Forest,0.5666666666666667,0.5620539403500864
polynomial,0.2,19,3.81,22,3.352802276611328,1.4920454025268555,Random Forest,0.5333333333333333,0.5347299468545297
polynomial,0.5,10,3.81,13,3.0772993564605713,1.4602079391479492,Random Forest,0.5111111111111111,0.5203418803418803
polynomial,1.0,10,3.81,13,3.487809419631958,1.4602079391479492,Random Forest,0.5111111111111111,0.5203418803418803
