func,bins,range,embedding_dim,generation_time,memory_mb,classifier,train_accuracy,accuracy,f1_score,auc,train_time
harmonic,50,3.52,50,5.397028923034668,1.8802270889282227,SVM (RBF),0.6133333333333333,0.4488888888888889,0.4355350275059637,0.601362962962963,0.7378127574920654
harmonic,50,3.52,50,5.397028923034668,1.8802270889282227,Random Forest,0.6376470588235295,0.4488888888888889,0.43403004154682007,0.6399407407407408,0.4688382148742676
harmonic,50,3.52,50,5.397028923034668,1.8802270889282227,MLP,0.5882352941176471,0.4622222222222222,0.44485754206913314,0.6153925925925926,0.6754393577575684
harmonic,100,3.52,100,5.853724479675293,2.9340295791625977,SVM (RBF),0.6266666666666667,0.4533333333333333,0.4419006919006919,0.6267555555555555,1.0077722072601318
harmonic,100,3.52,100,5.853724479675293,2.9340295791625977,Random Forest,0.6376470588235295,0.4711111111111111,0.4573484524318927,0.6622518518518519,0.4888753890991211
harmonic,100,3.52,100,5.853724479675293,2.9340295791625977,MLP,0.5466666666666666,0.4622222222222222,0.44014314306280616,0.6184740740740741,0.3100166320800781
harmonic,150,3.52,150,6.370366096496582,3.9877405166625977,SVM (RBF),0.6298039215686274,0.4533333333333333,0.45061513459869984,0.6144296296296297,1.4675345420837402
harmonic,150,3.52,150,6.370366096496582,3.9877405166625977,Random Forest,0.636078431372549,0.4888888888888889,0.47412245647880213,0.6682074074074075,0.49910688400268555
harmonic,150,3.52,150,6.370366096496582,3.9877405166625977,MLP,0.5537254901960784,0.4311111111111111,0.4264936600042982,0.6429185185185186,0.3198249340057373
polynomial,50,3.13,50,6.450830459594727,1.8804101943969727,SVM (RBF),0.6313725490196078,0.4577777777777778,0.4456056090950097,0.6278518518518519,0.6882467269897461
polynomial,50,3.13,50,6.450830459594727,1.8804101943969727,Random Forest,0.6376470588235295,0.48444444444444446,0.4770723943996653,0.6657777777777777,0.46918535232543945
polynomial,50,3.13,50,6.450830459594727,1.8804101943969727,MLP,0.5929411764705882,0.4488888888888889,0.4251523675574308,0.6231703703703704,0.6951906681060791
polynomial,100,3.13,100,5.954294204711914,2.9340295791625977,SVM (RBF),0.6368627450980392,0.4711111111111111,0.45829052034250395,0.6306370370370371,1.0423355102539062
polynomial,100,3.13,100,5.954294204711914,2.9340295791625977,Random Forest,0.6376470588235295,0.48,0.46344235582203497,0.666814814814815,0.5017871856689453
polynomial,100,3.13,100,5.954294204711914,2.9340295791625977,MLP,0.6031372549019608,0.43555555555555553,0.4252459908111626,0.6275407407407407,0.44440388679504395
polynomial,150,3.13,150,5.9322919845581055,3.9874658584594727,SVM (RBF),0.6376470588235295,0.4666666666666667,0.4527629342061861,0.6128592592592592,1.4473516941070557
polynomial,150,3.13,150,5.9322919845581055,3.9874658584594727,Random Forest,0.6376470588235295,0.49333333333333335,0.47810088253757255,0.6690962962962964,0.49678754806518555
polynomial,150,3.13,150,5.9322919845581055,3.9874658584594727,MLP,0.5631372549019608,0.48,0.4586928868566714,0.6458074074074074,0.32397961616516113
