classifier,train_accuracy,accuracy,f1_score,auc,train_time,inference_time,func,bins,range,generation_time
SVM (RBF) + Scaler,0.8588235294117647,0.34444444444444444,0.3424310895575263,0.6816296296296296,0.14270710945129395,0.0032520294189453125,polynomial,50,5.0,1.190460205078125
Random Forest,1.0,0.43333333333333335,0.4289187088090597,0.7584444444444445,0.971959114074707,0.0351409912109375,polynomial,50,5.0,1.190460205078125
MLP,0.7705882352941177,0.3333333333333333,0.33390804597701157,0.6794074074074073,22.626049041748047,0.016732454299926758,polynomial,50,5.0,1.190460205078125
SVM (RBF) + Scaler,0.9529411764705882,0.37777777777777777,0.3694960555436568,0.6742222222222222,0.21532011032104492,0.00578761100769043,polynomial,100,5.0,1.0827713012695312
Random Forest,1.0,0.4888888888888889,0.48755799755799756,0.7605185185185184,1.0206613540649414,0.03450202941894531,polynomial,100,5.0,1.0827713012695312
MLP,0.9176470588235294,0.4222222222222222,0.41786151948423755,0.7071111111111112,26.448253631591797,0.018307209014892578,polynomial,100,5.0,1.0827713012695312
SVM (RBF) + Scaler,0.9862745098039216,0.4888888888888889,0.48813530062925525,0.676,0.21579527854919434,0.005847930908203125,polynomial,100,4.1,1.126213550567627
Random Forest,1.0,0.5333333333333333,0.5331203931203932,0.779185185185185,1.0584259033203125,0.034644365310668945,polynomial,100,4.1,1.126213550567627
MLP,0.6666666666666666,0.3111111111111111,0.3132457306417408,0.6997037037037037,16.83327317237854,0.023302793502807617,polynomial,100,4.1,1.126213550567627
SVM (RBF) + Scaler,0.9411764705882353,0.37777777777777777,0.37597425722425726,0.6660740740740742,0.18716073036193848,0.004518747329711914,polynomial,70,4.1,1.4518587589263916
Random Forest,1.0,0.45555555555555555,0.4521328373627224,0.7537037037037037,1.2254118919372559,0.03579354286193848,polynomial,70,4.1,1.4518587589263916
MLP,0.5470588235294118,0.35555555555555557,0.35766468113520394,0.6706666666666666,15.605239152908325,0.02160954475402832,polynomial,70,4.1,1.4518587589263916
