classifier,train_accuracy,accuracy,f1_score,auc,train_time,inference_time,func,bins,range,generation_time
SVM (RBF) + Scaler,0.8549019607843137,0.43333333333333335,0.43217592592592596,0.7011851851851852,0.2277851104736328,0.006243705749511719,harmonic,100,33.0,1.2456412315368652
Random Forest,1.0,0.4777777777777778,0.47833036244800947,0.7479259259259259,1.3741812705993652,0.05174374580383301,harmonic,100,33.0,1.2456412315368652
MLP,0.8921568627450981,0.43333333333333335,0.42870577968617185,0.7205925925925927,38.762786865234375,0.022010326385498047,harmonic,100,33.0,1.2456412315368652
SVM (RBF) + Scaler,0.9294117647058824,0.43333333333333335,0.42862867177522346,0.7007407407407407,0.44458746910095215,0.013924598693847656,harmonic,200,33.0,1.2657301425933838
Random Forest,1.0,0.4444444444444444,0.44178734198895486,0.7370370370370369,1.4501173496246338,0.03544974327087402,harmonic,200,33.0,1.2657301425933838
MLP,0.3803921568627451,0.25555555555555554,0.24546858141446048,0.6477037037037036,14.022960186004639,0.02004528045654297,harmonic,200,33.0,1.2657301425933838
SVM (RBF) + Scaler,0.9647058823529412,0.3111111111111111,0.31298304704606583,0.7068148148148149,0.693817138671875,0.020071983337402344,harmonic,300,33.0,1.2286739349365234
Random Forest,1.0,0.4666666666666667,0.4634737479633224,0.7394814814814816,1.545389175415039,0.03589320182800293,harmonic,300,33.0,1.2286739349365234
MLP,0.792156862745098,0.4111111111111111,0.40747004933051445,0.692888888888889,19.551969051361084,0.02359938621520996,harmonic,300,33.0,1.2286739349365234
SVM (RBF) + Scaler,0.8588235294117647,0.34444444444444444,0.3424310895575263,0.6816296296296296,0.19421720504760742,0.0033118724822998047,polynomial,50,5.0,1.1520819664001465
Random Forest,1.0,0.43333333333333335,0.4289187088090597,0.7584444444444445,0.9927895069122314,0.03512978553771973,polynomial,50,5.0,1.1520819664001465
MLP,0.7705882352941177,0.3333333333333333,0.33390804597701157,0.6794074074074073,23.98413324356079,0.018295764923095703,polynomial,50,5.0,1.1520819664001465
SVM (RBF) + Scaler,0.9529411764705882,0.37777777777777777,0.3694960555436568,0.6742222222222222,0.228424072265625,0.006150722503662109,polynomial,100,5.0,1.1474554538726807
Random Forest,1.0,0.4888888888888889,0.48755799755799756,0.7605185185185184,1.0674004554748535,0.03575563430786133,polynomial,100,5.0,1.1474554538726807
MLP,0.9176470588235294,0.4222222222222222,0.41786151948423755,0.7071111111111112,25.3669650554657,0.02451777458190918,polynomial,100,5.0,1.1474554538726807
SVM (RBF) + Scaler,0.9862745098039216,0.4888888888888889,0.48813530062925525,0.676,0.2622857093811035,0.006851911544799805,polynomial,100,4.1,1.4331657886505127
Random Forest,1.0,0.5333333333333333,0.5331203931203932,0.779185185185185,1.2935068607330322,0.03956031799316406,polynomial,100,4.1,1.4331657886505127
MLP,0.6666666666666666,0.3111111111111111,0.3132457306417408,0.6997037037037037,16.158560276031494,0.023733139038085938,polynomial,100,4.1,1.4331657886505127
SVM (RBF) + Scaler,0.8862745098039215,0.28888888888888886,0.2847545175131382,0.6284444444444445,0.25005674362182617,0.0067596435546875,biharmonic,100,800.0,1.3251879215240479
Random Forest,0.9980392156862745,0.35555555555555557,0.3404096763375661,0.6962962962962963,1.5556552410125732,0.03527069091796875,biharmonic,100,800.0,1.3251879215240479
MLP,0.7235294117647059,0.32222222222222224,0.31401216218841677,0.6291851851851852,18.556527614593506,0.018207550048828125,biharmonic,100,800.0,1.3251879215240479
