classifier,train_accuracy,accuracy,f1_score,auc,train_time,func,bins,range,generation_time,memory_mb,embedding_dim
SVM (RBF) Raw,0.6254901960784314,0.34444444444444444,0.33354376603376273,0.6679999999999999,0.23669934272766113,harmonic,50,30.3,2.9043824672698975,1.6719646453857422,50
Random Forest Raw,1.0,0.43333333333333335,0.43082241034827246,0.7437037037037035,0.9838130474090576,harmonic,50,30.3,2.9043824672698975,1.6719646453857422,50
MLP Raw,0.37058823529411766,0.37777777777777777,0.37037795239408144,0.6912592592592594,2.695103883743286,harmonic,50,30.3,2.9043824672698975,1.6719646453857422,50
SVM (RBF) Raw,0.7411764705882353,0.3333333333333333,0.3308221825948257,0.6962962962962963,0.3032660484313965,harmonic,100,30.3,2.7970614433288574,1.771204948425293,100
Random Forest Raw,1.0,0.4444444444444444,0.44307979953141235,0.7433333333333333,0.9968011379241943,harmonic,100,30.3,2.7970614433288574,1.771204948425293,100
MLP Raw,0.28823529411764703,0.28888888888888886,0.22695175438596493,0.5842962962962963,1.5056512355804443,harmonic,100,30.3,2.7970614433288574,1.771204948425293,100
SVM (RBF) Raw,0.8607843137254902,0.37777777777777777,0.376781419050607,0.7028148148148149,0.39507150650024414,harmonic,150,30.3,2.8092780113220215,2.0695085525512695,150
Random Forest Raw,1.0,0.4111111111111111,0.4124633377066636,0.7268888888888889,0.9833550453186035,harmonic,150,30.3,2.8092780113220215,2.0695085525512695,150
MLP Raw,0.8215686274509804,0.36666666666666664,0.3597867564534231,0.6828148148148148,4.281684398651123,harmonic,150,30.3,2.8092780113220215,2.0695085525512695,150
SVM (RBF) Raw,0.8901960784313725,0.36666666666666664,0.3641734808401475,0.6792592592592592,0.5310826301574707,harmonic,200,30.3,2.8276662826538086,2.4631853103637695,200
Random Forest Raw,1.0,0.4444444444444444,0.4471499672000228,0.7520000000000001,1.0607876777648926,harmonic,200,30.3,2.8276662826538086,2.4631853103637695,200
MLP Raw,0.807843137254902,0.4,0.3838411699538702,0.7042962962962963,3.6074557304382324,harmonic,200,30.3,2.8276662826538086,2.4631853103637695,200
SVM (RBF) Raw,0.8901960784313725,0.37777777777777777,0.3747992842621999,0.6622222222222222,0.6524276733398438,harmonic,250,30.3,2.8244824409484863,2.8568620681762695,250
Random Forest Raw,1.0,0.45555555555555555,0.45320366362033027,0.7229629629629629,1.0734000205993652,harmonic,250,30.3,2.8244824409484863,2.8568620681762695,250
MLP Raw,0.4764705882352941,0.28888888888888886,0.2725671347622567,0.6484444444444445,2.688955783843994,harmonic,250,30.3,2.8244824409484863,2.8568620681762695,250
SVM (RBF) Raw,0.5490196078431373,0.36666666666666664,0.35526881720430104,0.6746666666666666,0.29308557510375977,polynomial,50,3.81,3.264833450317383,1.6008939743041992,50
Random Forest Raw,1.0,0.5,0.49920350457984874,0.7753333333333332,1.0371811389923096,polynomial,50,3.81,3.264833450317383,1.6008939743041992,50
MLP Raw,0.33725490196078434,0.23333333333333334,0.16654138871880808,0.5847407407407407,2.370596170425415,polynomial,50,3.81,3.264833450317383,1.6008939743041992,50
SVM (RBF) Raw,0.6215686274509804,0.36666666666666664,0.35465227131893795,0.6862222222222222,0.38094258308410645,polynomial,100,3.81,3.3118700981140137,1.7767515182495117,100
Random Forest Raw,1.0,0.5333333333333333,0.5338587848932678,0.776,1.0226728916168213,polynomial,100,3.81,3.3118700981140137,1.7767515182495117,100
MLP Raw,0.5137254901960784,0.26666666666666666,0.24714817346396292,0.6508148148148148,4.802163362503052,polynomial,100,3.81,3.3118700981140137,1.7767515182495117,100
SVM (RBF) Raw,0.6686274509803921,0.28888888888888886,0.2815751913300933,0.6718518518518519,0.47469282150268555,polynomial,150,3.81,3.1869237422943115,2.0947675704956055,150
Random Forest Raw,1.0,0.5444444444444444,0.5395044391663729,0.7845185185185187,1.0074145793914795,polynomial,150,3.81,3.1869237422943115,2.0947675704956055,150
MLP Raw,0.503921568627451,0.26666666666666666,0.2535085296713204,0.6093333333333334,3.5388503074645996,polynomial,150,3.81,3.1869237422943115,2.0947675704956055,150
SVM (RBF) Raw,0.7274509803921568,0.4111111111111111,0.39721181463468214,0.6797037037037038,0.5841517448425293,polynomial,200,3.81,3.3049705028533936,2.4884443283081055,200
Random Forest Raw,1.0,0.4888888888888889,0.4834686577063728,0.7771851851851852,1.0015509128570557,polynomial,200,3.81,3.3049705028533936,2.4884443283081055,200
MLP Raw,0.884313725490196,0.37777777777777777,0.3779946235118649,0.6998518518518518,7.469980239868164,polynomial,200,3.81,3.3049705028533936,2.4884443283081055,200
SVM (RBF) Raw,0.7392156862745098,0.36666666666666664,0.3657227803061136,0.6613333333333333,0.6507809162139893,polynomial,250,3.81,3.20662784576416,2.8821210861206055,250
Random Forest Raw,1.0,0.4777777777777778,0.4705611895483811,0.7761481481481483,0.9864795207977295,polynomial,250,3.81,3.20662784576416,2.8821210861206055,250
MLP Raw,0.8450980392156863,0.36666666666666664,0.35649161533893586,0.7088888888888889,6.290936708450317,polynomial,250,3.81,3.20662784576416,2.8821210861206055,250
