func,binwidth,bins,range,embedding_dim,generation_time,memory_mb,classifier,accuracy,f1_score
harmonic,0.05,606,30.3,606,3.0593395233154297,5.853268623352051,Random Forest (Raw),0.4444444444444444,0.4407066052227343
harmonic,0.1,303,30.3,303,2.729410409927368,3.285660743713379,Random Forest (Raw),0.43333333333333335,0.42842187651643693
harmonic,0.2,151,30.3,151,2.7972545623779297,2.0773820877075195,Random Forest (Raw),0.4222222222222222,0.4205692367931457
harmonic,0.5,60,30.3,60,2.8884918689727783,1.6190176010131836,Random Forest (Raw),0.4,0.401106939809665
harmonic,1.0,30,30.3,30,2.779315233230591,1.513503074645996,Random Forest (Raw),0.37777777777777777,0.37419743655037774
polynomial,0.05,76,3.81,76,2.786059856414795,1.6923398971557617,Random Forest (Raw),0.4777777777777778,0.47389092389092385
polynomial,0.1,38,3.81,38,2.81821870803833,1.5586881637573242,Random Forest (Raw),0.5,0.4985390301482256
polynomial,0.2,19,3.81,19,3.1043701171875,1.4918622970581055,Random Forest (Raw),0.4222222222222222,0.42319659780782154
polynomial,0.5,10,3.81,10,3.119563579559326,1.4602079391479492,Random Forest (Raw),0.36666666666666664,0.36464232700791843
polynomial,1.0,10,3.81,10,3.354412317276001,1.4602079391479492,Random Forest (Raw),0.36666666666666664,0.36464232700791843
