func,bins,range,embedding_dim,generation_time,memory_mb,classifier,train_accuracy,accuracy,f1_score,auc,train_time
harmonic,50,3.52,50,6.182218313217163,1.8805160522460938,SVM (RBF) Raw,0.5968627450980392,0.4622222222222222,0.45020965026299786,0.6152888888888889,0.7578492164611816
harmonic,50,3.52,50,6.182218313217163,1.8805160522460938,Random Forest Raw,0.6376470588235295,0.4488888888888889,0.43403004154682007,0.6399407407407408,0.5085585117340088
harmonic,50,3.52,50,6.182218313217163,1.8805160522460938,MLP Raw,0.5827450980392157,0.49333333333333335,0.47941062452600214,0.6395703703703703,0.540616512298584
harmonic,100,3.52,100,6.967733383178711,2.9338464736938477,SVM (RBF) Raw,0.6172549019607844,0.4577777777777778,0.4463751359070477,0.6312592592592594,1.1314709186553955
harmonic,100,3.52,100,6.967733383178711,2.9338464736938477,Random Forest Raw,0.6376470588235295,0.4711111111111111,0.4573484524318927,0.6622518518518519,0.526193380355835
harmonic,100,3.52,100,6.967733383178711,2.9338464736938477,MLP Raw,0.5905882352941176,0.5022222222222222,0.4784266977518511,0.6650074074074074,0.4932689666748047
harmonic,150,3.52,150,7.211868762969971,3.9874658584594727,SVM (RBF) Raw,0.6211764705882353,0.4577777777777778,0.44570415743854835,0.6223703703703704,1.5276851654052734
harmonic,150,3.52,150,7.211868762969971,3.9874658584594727,Random Forest Raw,0.636078431372549,0.4888888888888889,0.47412245647880213,0.6682074074074075,0.5290257930755615
harmonic,150,3.52,150,7.211868762969971,3.9874658584594727,MLP Raw,0.6023529411764705,0.4622222222222222,0.4506000148292638,0.6182074074074075,0.680156946182251
harmonic,200,3.52,200,6.923298120498657,5.041085243225098,SVM (RBF) Raw,0.6274509803921569,0.4711111111111111,0.45638777250030454,0.6124740740740741,2.057401657104492
harmonic,200,3.52,200,6.923298120498657,5.041085243225098,Random Forest Raw,0.6352941176470588,0.48444444444444446,0.47035836478172127,0.6594962962962962,0.5504410266876221
harmonic,200,3.52,200,6.923298120498657,5.041085243225098,MLP Raw,0.5686274509803921,0.4177777777777778,0.39442736149322966,0.5819407407407408,0.5613160133361816
harmonic,250,3.52,250,7.051681280136108,6.124306678771973,SVM (RBF) Raw,0.6313725490196078,0.4711111111111111,0.45621197019405146,0.6205333333333334,2.34970760345459
harmonic,250,3.52,250,7.051681280136108,6.124306678771973,Random Forest Raw,0.6352941176470588,0.4622222222222222,0.4477576016520686,0.6637925925925926,0.5455236434936523
harmonic,250,3.52,250,7.051681280136108,6.124306678771973,MLP Raw,0.6062745098039216,0.4177777777777778,0.4061651977284732,0.6073777777777777,1.0932819843292236
polynomial,50,3.13,50,7.143945693969727,1.8802270889282227,SVM (RBF) Raw,0.567843137254902,0.4577777777777778,0.44151002506265663,0.6337777777777778,0.75260329246521
polynomial,50,3.13,50,7.143945693969727,1.8802270889282227,Random Forest Raw,0.6376470588235295,0.48444444444444446,0.4770723943996653,0.6657777777777777,0.5087566375732422
polynomial,50,3.13,50,7.143945693969727,1.8802270889282227,MLP Raw,0.5701960784313725,0.4266666666666667,0.3956172353165149,0.6038074074074075,0.44154787063598633
polynomial,100,3.13,100,7.274361848831177,2.9338464736938477,SVM (RBF) Raw,0.6054901960784314,0.4711111111111111,0.45725441275839823,0.6321185185185185,1.209080696105957
polynomial,100,3.13,100,7.274361848831177,2.9338464736938477,Random Forest Raw,0.6376470588235295,0.48,0.46344235582203497,0.666814814814815,0.5178210735321045
polynomial,100,3.13,100,7.274361848831177,2.9338464736938477,MLP Raw,0.6054901960784314,0.4444444444444444,0.4374180796418852,0.6257629629629631,0.7654309272766113
polynomial,150,3.13,150,7.673027276992798,3.9874658584594727,SVM (RBF) Raw,0.6172549019607844,0.4666666666666667,0.44517381061967043,0.6274666666666667,1.9488499164581299
polynomial,150,3.13,150,7.673027276992798,3.9874658584594727,Random Forest Raw,0.6376470588235295,0.49333333333333335,0.47810088253757255,0.6690962962962964,0.6479711532592773
polynomial,150,3.13,150,7.673027276992798,3.9874658584594727,MLP Raw,0.5215686274509804,0.52,0.49810105216664297,0.6754222222222223,0.778892993927002
polynomial,200,3.13,200,8.942415952682495,5.041085243225098,SVM (RBF) Raw,0.6235294117647059,0.48,0.460690759679199,0.6234666666666668,2.458632469177246
polynomial,200,3.13,200,8.942415952682495,5.041085243225098,Random Forest Raw,0.6376470588235295,0.49777777777777776,0.48183520599250934,0.6687703703703705,0.6350340843200684
polynomial,200,3.13,200,8.942415952682495,5.041085243225098,MLP Raw,0.6188235294117647,0.47555555555555556,0.4608141634570819,0.6406666666666667,1.3348636627197266
polynomial,250,3.13,250,7.682588338851929,6.124306678771973,SVM (RBF) Raw,0.6250980392156863,0.48,0.46468642245414493,0.6247111111111111,2.559706926345825
polynomial,250,3.13,250,7.682588338851929,6.124306678771973,Random Forest Raw,0.6376470588235295,0.49333333333333335,0.4782260198284852,0.6619259259259259,0.5504617691040039
polynomial,250,3.13,250,7.682588338851929,6.124306678771973,MLP Raw,0.6149019607843137,0.4533333333333333,0.44750763941940414,0.6534222222222222,0.5788424015045166
