func,bins,range,generation_time,memory_mb,embedding_dim,classifier,train_accuracy,accuracy,f1_score,auc,train_time,harm_bins,harm_range,pol_bins,pol_range
harmonic,50.0,3.52,7.280972242355347,1.8802270889282227,50,SVM (RBF) Raw,0.5968627450980392,0.4622222222222222,0.45020965026299786,0.6152888888888889,0.7156815528869629,,,,
harmonic,50.0,3.52,7.280972242355347,1.8802270889282227,50,Random Forest Raw,0.6376470588235295,0.4488888888888889,0.43403004154682007,0.6399407407407408,0.5159895420074463,,,,
harmonic,50.0,3.52,7.280972242355347,1.8802270889282227,50,MLP Raw,0.5827450980392157,0.49333333333333335,0.47941062452600214,0.6395703703703703,0.7942092418670654,,,,
harmonic,100.0,3.52,6.638353109359741,2.9338464736938477,100,SVM (RBF) Raw,0.6172549019607844,0.4577777777777778,0.4463751359070477,0.6312592592592594,1.0062854290008545,,,,
harmonic,100.0,3.52,6.638353109359741,2.9338464736938477,100,Random Forest Raw,0.6376470588235295,0.4711111111111111,0.4573484524318927,0.6622518518518519,0.5095291137695312,,,,
harmonic,100.0,3.52,6.638353109359741,2.9338464736938477,100,MLP Raw,0.5905882352941176,0.5022222222222222,0.4784266977518511,0.6650074074074074,0.5268683433532715,,,,
harmonic,150.0,3.52,6.89523720741272,3.9874658584594727,150,SVM (RBF) Raw,0.6211764705882353,0.4577777777777778,0.44570415743854835,0.6223703703703704,1.500702142715454,,,,
harmonic,150.0,3.52,6.89523720741272,3.9874658584594727,150,Random Forest Raw,0.636078431372549,0.4888888888888889,0.47412245647880213,0.6682074074074075,0.6176085472106934,,,,
harmonic,150.0,3.52,6.89523720741272,3.9874658584594727,150,MLP Raw,0.6023529411764705,0.4622222222222222,0.4506000148292638,0.6182074074074075,0.7034194469451904,,,,
harmonic,200.0,3.52,6.85746169090271,5.041085243225098,200,SVM (RBF) Raw,0.6274509803921569,0.4711111111111111,0.45638777250030454,0.6124740740740741,1.998075246810913,,,,
harmonic,200.0,3.52,6.85746169090271,5.041085243225098,200,Random Forest Raw,0.6352941176470588,0.48444444444444446,0.47035836478172127,0.6594962962962962,0.6282868385314941,,,,
harmonic,200.0,3.52,6.85746169090271,5.041085243225098,200,MLP Raw,0.5686274509803921,0.4177777777777778,0.39442736149322966,0.5819407407407408,0.5137894153594971,,,,
harmonic,250.0,3.52,6.937948942184448,6.124306678771973,250,SVM (RBF) Raw,0.6313725490196078,0.4711111111111111,0.45621197019405146,0.6205333333333334,2.4338929653167725,,,,
harmonic,250.0,3.52,6.937948942184448,6.124306678771973,250,Random Forest Raw,0.6352941176470588,0.4622222222222222,0.4477576016520686,0.6637925925925926,0.5737931728363037,,,,
harmonic,250.0,3.52,6.937948942184448,6.124306678771973,250,MLP Raw,0.6062745098039216,0.4177777777777778,0.4061651977284732,0.6073777777777777,1.4860520362854004,,,,
polynomial,50.0,3.13,6.229200839996338,1.8802270889282227,50,SVM (RBF) Raw,0.567843137254902,0.4577777777777778,0.44151002506265663,0.6337777777777778,0.7255063056945801,,,,
polynomial,50.0,3.13,6.229200839996338,1.8802270889282227,50,Random Forest Raw,0.6376470588235295,0.48444444444444446,0.4770723943996653,0.6657777777777777,0.48504638671875,,,,
polynomial,50.0,3.13,6.229200839996338,1.8802270889282227,50,MLP Raw,0.5701960784313725,0.4266666666666667,0.3956172353165149,0.6038074074074075,0.44873976707458496,,,,
polynomial,100.0,3.13,6.300031661987305,2.9338464736938477,100,SVM (RBF) Raw,0.6054901960784314,0.4711111111111111,0.45725441275839823,0.6321185185185185,1.1518971920013428,,,,
polynomial,100.0,3.13,6.300031661987305,2.9338464736938477,100,Random Forest Raw,0.6376470588235295,0.48,0.46344235582203497,0.666814814814815,0.5256443023681641,,,,
polynomial,100.0,3.13,6.300031661987305,2.9338464736938477,100,MLP Raw,0.6054901960784314,0.4444444444444444,0.4374180796418852,0.6257629629629631,0.6226427555084229,,,,
polynomial,150.0,3.13,6.89871072769165,3.9874658584594727,150,SVM (RBF) Raw,0.6172549019607844,0.4666666666666667,0.44517381061967043,0.6274666666666667,1.6240506172180176,,,,
polynomial,150.0,3.13,6.89871072769165,3.9874658584594727,150,Random Forest Raw,0.6376470588235295,0.49333333333333335,0.47810088253757255,0.6690962962962964,0.5438950061798096,,,,
polynomial,150.0,3.13,6.89871072769165,3.9874658584594727,150,MLP Raw,0.5215686274509804,0.52,0.49810105216664297,0.6754222222222223,0.30318641662597656,,,,
polynomial,200.0,3.13,6.6706554889678955,5.041085243225098,200,SVM (RBF) Raw,0.6235294117647059,0.48,0.460690759679199,0.6234666666666668,2.0552732944488525,,,,
polynomial,200.0,3.13,6.6706554889678955,5.041085243225098,200,Random Forest Raw,0.6376470588235295,0.49777777777777776,0.48183520599250934,0.6687703703703705,0.5365362167358398,,,,
polynomial,200.0,3.13,6.6706554889678955,5.041085243225098,200,MLP Raw,0.6188235294117647,0.47555555555555556,0.4608141634570819,0.6406666666666667,0.617807149887085,,,,
polynomial,250.0,3.13,6.942885398864746,6.124306678771973,250,SVM (RBF) Raw,0.6250980392156863,0.48,0.46468642245414493,0.6247111111111111,3.099797248840332,,,,
polynomial,250.0,3.13,6.942885398864746,6.124306678771973,250,Random Forest Raw,0.6376470588235295,0.49333333333333335,0.4782260198284852,0.6619259259259259,0.793982982635498,,,,
polynomial,250.0,3.13,6.942885398864746,6.124306678771973,250,MLP Raw,0.6149019607843137,0.4533333333333333,0.44750763941940414,0.6534222222222222,0.8243672847747803,,,,
naive_hybrid,,,,,250,SVM (RBF) Raw,0.6258823529411764,0.48444444444444446,0.4735240604805823,0.641362962962963,2.541795492172241,100.0,3.52,150.0,3.13
naive_hybrid,,,,,250,Random Forest Raw,0.6376470588235295,0.4888888888888889,0.4733092961702587,0.6695407407407408,0.6135919094085693,100.0,3.52,150.0,3.13
naive_hybrid,,,,,250,MLP Raw,0.6266666666666667,0.4666666666666667,0.46524053703775103,0.6564000000000001,1.0892856121063232,100.0,3.52,150.0,3.13
