func,binwidth,bins,range,embedding_dim,generation_time,memory_mb,classifier,accuracy,f1_score
harmonic,0.05,70,3.52,70,5.9629151821136475,2.4103784561157227,Random Forest (Raw),0.48,0.46772159156060084
harmonic,0.1,35,3.52,35,5.92709755897522,1.5641412734985352,Random Forest (Raw),0.48,0.46652378780969755
harmonic,0.2,17,3.52,17,5.691870212554932,1.1848382949829102,Random Forest (Raw),0.4311111111111111,0.4218554028972137
harmonic,0.5,10,3.52,10,6.900012016296387,1.0373315811157227,Random Forest (Raw),0.4577777777777778,0.44866342844405177
harmonic,1.0,10,3.52,10,6.999780178070068,1.0373315811157227,Random Forest (Raw),0.4577777777777778,0.44866342844405177
polynomial,0.05,62,3.13,62,7.104734659194946,2.1330957412719727,Random Forest (Raw),0.4888888888888889,0.4776280094174831
polynomial,0.1,31,3.13,31,6.798418998718262,1.4798517227172852,Random Forest (Raw),0.4711111111111111,0.46223014458308576
polynomial,0.2,15,3.13,15,6.697981119155884,1.1426935195922852,Random Forest (Raw),0.4577777777777778,0.45059522669068003
polynomial,0.5,10,3.13,10,6.641101121902466,1.0373315811157227,Random Forest (Raw),0.44,0.43097643097643096
polynomial,1.0,10,3.13,10,6.4746928215026855,1.0373315811157227,Random Forest (Raw),0.44,0.43097643097643096
