umap_x,umap_y,true_label,kmeans_label,spectral_label
9.312044,8.752482,5,2,4
9.434044,12.105503,5,2,5
11.290977,8.891511,5,2,0
11.42103,9.119425,5,2,0
11.001525,9.50151,5,2,0
11.005625,9.545204,5,2,0
8.902815,12.484498,5,2,5
6.461204,9.449666,5,3,2
12.437867,9.091562,5,2,0
12.583408,8.602105,5,0,0
12.237999,11.304917,5,2,0
11.565193,10.793818,5,2,0
11.608191,6.534604,5,0,3
11.711076,6.5586658,5,0,3
11.988012,7.1723714,5,0,3
6.211632,9.675881,5,5,2
4.824781,11.868569,5,5,1
4.822934,11.9347925,5,5,1
12.140618,11.455175,5,2,0
10.578782,8.407879,5,2,0
9.738829,8.008842,5,0,4
9.7148075,7.9406953,5,0,4
9.715138,8.001364,5,0,4
9.615752,8.013722,5,0,4
9.646202,8.026239,5,0,4
9.725005,7.9663334,5,0,4
9.630083,8.367415,5,0,4
9.728231,12.076822,5,2,5
10.172228,11.297542,5,2,5
11.357095,7.4260845,5,0,3
8.703346,9.3657055,5,5,1
8.825458,9.388593,5,5,4
9.079418,9.026295,5,5,4
11.962478,11.008914,5,2,0
11.524186,9.5401745,5,2,0
5.2212806,9.331962,5,5,2
5.195705,9.303424,5,5,2
11.239872,12.27892,5,2,5
12.208893,8.486192,5,2,0
10.128547,10.391301,5,2,5
5.2851834,10.523216,5,5,2
4.8302884,10.616278,5,5,1
4.79959,10.66948,5,5,2
4.828452,10.62664,5,5,2
4.878846,10.577365,5,5,2
4.742113,10.830744,5,5,1
12.278433,8.418424,5,0,0
12.021464,7.4633493,5,0,3
11.391482,7.7416124,5,0,3
12.262657,10.96692,5,2,0
8.947071,11.310261,5,2,5
9.019133,9.907767,5,5,1
10.439153,11.704235,5,2,5
10.420725,12.397954,5,2,5
12.200481,11.357812,5,2,0
10.472427,10.784537,5,2,5
12.181911,10.430336,5,2,0
9.914099,12.224407,5,2,5
10.529188,11.072104,5,2,5
12.285024,10.434787,5,2,0
11.699489,11.219409,5,2,0
11.688213,7.2108274,5,0,3
11.775349,7.0601377,5,0,3
12.526468,8.354633,5,0,0
12.613697,8.750914,5,2,0
12.527473,9.338428,5,2,0
11.877008,7.950201,5,0,0
5.1376,9.943187,5,5,2
11.2376585,8.62439,5,2,0
11.431919,8.541049,5,2,0
4.9858537,11.925357,5,5,1
11.834542,6.7583346,5,0,3
9.826995,8.016933,5,0,4
9.755341,7.944405,5,0,4
12.505962,9.610761,5,2,0
12.475136,9.944625,5,2,0
12.412691,9.814297,5,2,0
12.484326,9.82301,5,2,0
10.785517,10.3164625,5,2,5
12.262426,9.479599,5,2,0
9.367812,9.240806,5,2,4
11.738416,9.198483,5,2,0
12.031752,8.890141,5,2,0
9.810532,8.266547,5,0,4
9.969807,8.405317,5,2,4
11.826274,6.7945995,5,0,3
11.571998,6.9018273,5,0,3
4.771333,11.896111,5,5,1
9.503946,8.467897,5,5,4
11.8112135,6.7122893,5,0,3
9.958926,8.2505865,5,0,4
9.7981825,8.411804,5,2,4
12.437167,7.8614373,5,0,3
9.696054,9.18698,5,2,4
9.486153,9.190308,5,2,4
12.195479,9.358821,5,2,0
9.219788,10.2302,5,2,1
8.580751,12.032202,5,5,5
8.634448,10.779096,5,2,5
12.264934,11.274974,5,2,0
5.05624,9.200933,4,5,2
5.09605,9.532596,4,5,2
6.2260036,10.160996,4,5,2
8.4352455,11.455399,4,2,5
8.475382,11.572329,4,2,5
12.55031,9.941683,4,2,0
5.7066,9.962426,4,5,2
5.7544847,10.018445,4,5,1
10.711013,9.212236,4,2,0
12.493104,9.98389,4,2,0
11.442699,8.701004,4,2,0
5.0888157,8.892707,4,0,2
5.128527,8.868725,4,0,2
11.405165,8.988761,4,2,0
11.327677,8.8018465,4,2,0
11.752414,6.439558,4,0,3
5.124024,9.00427,4,5,2
6.4615564,9.214144,4,3,2
12.336247,10.428577,4,2,0
10.652739,12.316214,4,2,5
6.487753,11.056095,4,5,1
11.641591,11.621821,4,2,5
6.494019,9.693856,4,3,2
10.799253,11.539677,4,2,5
10.196538,11.966548,4,2,5
9.582562,10.828309,4,2,5
11.118625,11.409173,4,2,5
9.946528,11.010565,4,2,5
12.129353,10.648754,4,2,0
12.282873,10.474966,4,2,0
11.176738,10.117081,4,2,0
11.431634,10.918049,4,2,0
11.8536415,10.503099,4,2,0
9.094625,10.873514,4,2,5
11.107185,11.386338,4,2,5
12.171509,11.420159,4,2,0
12.368795,9.386171,4,2,0
10.767276,11.359174,4,2,5
5.196679,11.712797,4,5,1
11.385897,11.471465,4,2,5
11.687624,11.032612,4,2,0
11.106224,11.094826,4,2,5
7.0336456,11.065597,4,5,1
11.792849,10.184313,4,2,0
11.220719,9.974577,4,2,0
6.223347,11.53377,4,5,1
6.2033973,11.576685,4,5,1
6.283993,11.481353,4,5,1
6.221062,11.52331,4,5,1
10.000124,11.120143,4,2,5
9.746796,11.445306,4,2,5
11.722655,11.205582,4,2,0
11.450094,11.243861,4,2,5
11.708329,10.541655,4,2,0
10.815873,11.635499,4,2,5
11.503685,11.788638,4,2,5
11.864274,11.2544155,4,2,0
9.182003,10.623341,4,2,5
11.187738,11.462238,4,2,5
9.144161,12.400435,4,2,5
9.75876,11.692749,4,2,5
11.975665,9.770223,4,2,0
12.187274,10.299698,4,2,0
10.956106,11.387504,4,2,5
12.293054,10.446983,4,2,0
12.560937,8.874847,4,2,0
6.250485,11.639326,4,5,1
5.0430984,9.572262,4,5,2
5.6190906,11.747796,4,5,1
12.566357,9.022461,4,2,0
4.8718424,9.459254,4,5,2
10.929524,9.613366,4,2,0
5.570075,11.493856,4,5,1
4.8847437,9.503912,4,5,2
12.500842,8.782674,4,2,0
5.233542,9.819215,4,5,2
5.2387185,11.647793,4,5,1
5.747786,11.471678,4,5,1
8.427317,10.359208,4,2,2
8.314344,10.152388,4,2,2
5.4044185,10.628251,4,5,2
5.439308,10.695409,4,5,1
5.403422,11.683103,4,5,1
5.3209124,11.773023,4,5,1
5.482091,11.576076,4,5,1
