func,binwidth,bins,range,embedding_dim,generation_time,memory_mb,classifier,accuracy,f1_score
harmonic,0.05,606,30.3,609,2.8048055171966553,5.853387832641602,Random Forest,0.43333333333333335,0.4343989760702775
harmonic,0.1,303,30.3,306,2.6492435932159424,3.281360626220703,Random Forest,0.5,0.5005215105494011
harmonic,0.2,151,30.3,154,2.668262243270874,2.077408790588379,Random Forest,0.5111111111111111,0.511213162086818
harmonic,0.5,60,30.3,63,2.6756865978240967,1.619044303894043,Random Forest,0.4444444444444444,0.44844764484233174
harmonic,1.0,30,30.3,33,2.681427478790283,1.5135297775268555,Random Forest,0.4666666666666667,0.4688507326007326
polynomial,0.05,76,3.81,79,2.6835310459136963,1.6923398971557617,Random Forest,0.5666666666666667,0.5605788982259571
polynomial,0.1,38,3.81,41,2.6988322734832764,1.5586881637573242,Random Forest,0.5666666666666667,0.5620539403500864
polynomial,0.2,19,3.81,22,2.668570041656494,1.4918622970581055,Random Forest,0.5333333333333333,0.5347299468545297
polynomial,0.5,10,3.81,13,2.670774459838867,1.4602079391479492,Random Forest,0.5111111111111111,0.5203418803418803
polynomial,1.0,10,3.81,13,2.667649507522583,1.4602079391479492,Random Forest,0.5111111111111111,0.5203418803418803
