name,func,bins,range,n_neighbors,embed_time,method,ari,silhouette,harm_bins,harm_range,pol_bins,pol_range
harmonic_35_3.5,harmonic,35.0,3.5,5,2.9217946529388428,K-Means,0.027599049502889758,0.444183417219377,,,,
harmonic_35_3.5,harmonic,35.0,3.5,5,2.9217946529388428,Spectral,0.003485823833934414,0.025218657259956718,,,,
harmonic_35_3.5,harmonic,35.0,3.5,10,2.9217946529388428,K-Means,0.027599049502889758,0.444183417219377,,,,
harmonic_35_3.5,harmonic,35.0,3.5,10,2.9217946529388428,Spectral,0.0009184001098106751,-0.17210293106258345,,,,
harmonic_35_3.5,harmonic,35.0,3.5,15,2.9217946529388428,K-Means,0.027599049502889758,0.444183417219377,,,,
harmonic_35_3.5,harmonic,35.0,3.5,15,2.9217946529388428,Spectral,0.006804997479750184,0.07738132263268276,,,,
harmonic_35_3.5,harmonic,35.0,3.5,20,2.9217946529388428,K-Means,0.027599049502889758,0.444183417219377,,,,
harmonic_35_3.5,harmonic,35.0,3.5,20,2.9217946529388428,Spectral,0.0014607750382219394,-0.0038207020911162964,,,,
harmonic_70_3.5,harmonic,70.0,3.5,5,3.4948532581329346,K-Means,0.011401938301625551,0.3686365283024307,,,,
harmonic_70_3.5,harmonic,70.0,3.5,5,3.4948532581329346,Spectral,0.00012961432231472158,0.10514960496012897,,,,
harmonic_70_3.5,harmonic,70.0,3.5,10,3.4948532581329346,K-Means,0.011401938301625551,0.3686365283024307,,,,
harmonic_70_3.5,harmonic,70.0,3.5,10,3.4948532581329346,Spectral,0.006764924891237389,0.17839604050210112,,,,
harmonic_70_3.5,harmonic,70.0,3.5,15,3.4948532581329346,K-Means,0.011401938301625551,0.3686365283024307,,,,
harmonic_70_3.5,harmonic,70.0,3.5,15,3.4948532581329346,Spectral,0.006671810203854734,0.17832813970551117,,,,
harmonic_70_3.5,harmonic,70.0,3.5,20,3.4948532581329346,K-Means,0.011401938301625551,0.3686365283024307,,,,
harmonic_70_3.5,harmonic,70.0,3.5,20,3.4948532581329346,Spectral,0.006120414646236249,0.3085254448853744,,,,
polynomial_31_3.1,polynomial,31.0,3.1,5,2.8196473121643066,K-Means,0.008519773556645351,0.3740871362413881,,,,
polynomial_31_3.1,polynomial,31.0,3.1,5,2.8196473121643066,Spectral,0.0006230563692264725,0.12663470778916408,,,,
polynomial_31_3.1,polynomial,31.0,3.1,10,2.8196473121643066,K-Means,0.008519773556645351,0.3740871362413881,,,,
polynomial_31_3.1,polynomial,31.0,3.1,10,2.8196473121643066,Spectral,0.017837963073643177,0.2739038350394109,,,,
polynomial_31_3.1,polynomial,31.0,3.1,15,2.8196473121643066,K-Means,0.008519773556645351,0.3740871362413881,,,,
polynomial_31_3.1,polynomial,31.0,3.1,15,2.8196473121643066,Spectral,0.0075597615055349515,0.1980869548010644,,,,
polynomial_31_3.1,polynomial,31.0,3.1,20,2.8196473121643066,K-Means,0.008519773556645351,0.3740871362413881,,,,
polynomial_31_3.1,polynomial,31.0,3.1,20,2.8196473121643066,Spectral,0.0057405285289992055,0.22634591140782387,,,,
polynomial_62_3.1,polynomial,62.0,3.1,5,4.209776401519775,K-Means,0.006058298562436746,0.344340384601742,,,,
polynomial_62_3.1,polynomial,62.0,3.1,5,4.209776401519775,Spectral,0.018551931474044936,0.22082733633789772,,,,
polynomial_62_3.1,polynomial,62.0,3.1,10,4.209776401519775,K-Means,0.006058298562436746,0.344340384601742,,,,
polynomial_62_3.1,polynomial,62.0,3.1,10,4.209776401519775,Spectral,0.005015233968210542,0.1559603700008776,,,,
polynomial_62_3.1,polynomial,62.0,3.1,15,4.209776401519775,K-Means,0.006058298562436746,0.344340384601742,,,,
polynomial_62_3.1,polynomial,62.0,3.1,15,4.209776401519775,Spectral,0.006061232084847663,0.3453971329225571,,,,
polynomial_62_3.1,polynomial,62.0,3.1,20,4.209776401519775,K-Means,0.006058298562436746,0.344340384601742,,,,
polynomial_62_3.1,polynomial,62.0,3.1,20,4.209776401519775,Spectral,0.006061232084847663,0.3453971329225571,,,,
naive_hybrid_70_3.5_62_3.1,hybrid,,,5,3.7018492221832275,K-Means,0.013012519296565914,0.3242902545716057,70.0,3.5,62.0,3.1
naive_hybrid_70_3.5_62_3.1,hybrid,,,5,3.7018492221832275,Spectral,0.0006223462861267277,0.10849779932065966,70.0,3.5,62.0,3.1
naive_hybrid_70_3.5_62_3.1,hybrid,,,10,3.7018492221832275,K-Means,0.013012519296565914,0.3242902545716057,70.0,3.5,62.0,3.1
naive_hybrid_70_3.5_62_3.1,hybrid,,,10,3.7018492221832275,Spectral,0.006872280244547499,0.21770140067768268,70.0,3.5,62.0,3.1
naive_hybrid_70_3.5_62_3.1,hybrid,,,15,3.7018492221832275,K-Means,0.013012519296565914,0.3242902545716057,70.0,3.5,62.0,3.1
naive_hybrid_70_3.5_62_3.1,hybrid,,,15,3.7018492221832275,Spectral,0.007272503311482208,0.21797994105295193,70.0,3.5,62.0,3.1
naive_hybrid_70_3.5_62_3.1,hybrid,,,20,3.7018492221832275,K-Means,0.013012519296565914,0.3242902545716057,70.0,3.5,62.0,3.1
naive_hybrid_70_3.5_62_3.1,hybrid,,,20,3.7018492221832275,Spectral,0.006205955533089014,0.33659029513077243,70.0,3.5,62.0,3.1
