func,bins,range,generation_time,memory_mb,embedding_dim,classifier,train_accuracy,accuracy,f1_score,auc,train_time,harm_bins,harm_range,pol_bins,pol_range
harmonic,50.0,3.5,6.144181251525879,1.8802270889282227,50,SVM (RBF),0.6235294117647059,0.4488888888888889,0.43370392137656316,0.6203851851851853,0.7019333839416504,,,,
harmonic,50.0,3.5,6.144181251525879,1.8802270889282227,50,Random Forest,0.6525490196078432,0.4666666666666667,0.44885057471264367,0.6514962962962964,0.47632813453674316,,,,
harmonic,50.0,3.5,6.144181251525879,1.8802270889282227,50,MLP,0.5835294117647059,0.49333333333333335,0.4786355233786777,0.6524296296296297,0.5216631889343262,,,,
harmonic,100.0,3.5,5.97325873374939,2.9338464736938477,100,SVM (RBF),0.6321568627450981,0.4577777777777778,0.4486053411268377,0.6218370370370372,1.0146663188934326,,,,
harmonic,100.0,3.5,5.97325873374939,2.9338464736938477,100,Random Forest,0.6525490196078432,0.4711111111111111,0.4533104390532108,0.6517925925925926,0.4803924560546875,,,,
harmonic,100.0,3.5,5.97325873374939,2.9338464736938477,100,MLP,0.6078431372549019,0.4711111111111111,0.45217304099148314,0.6288888888888887,0.6992371082305908,,,,
harmonic,200.0,3.5,6.623205900192261,5.041085243225098,200,SVM (RBF),0.64,0.4311111111111111,0.42462600690448793,0.5947851851851851,1.842372179031372,,,,
harmonic,200.0,3.5,6.623205900192261,5.041085243225098,200,Random Forest,0.6525490196078432,0.48,0.4655145314806332,0.6542814814814814,0.508981466293335,,,,
harmonic,200.0,3.5,6.623205900192261,5.041085243225098,200,MLP,0.5403921568627451,0.4177777777777778,0.4159846557223058,0.5990518518518518,0.3032867908477783,,,,
polynomial,50.0,3.1,6.423595190048218,1.8802270889282227,50,SVM (RBF),0.6313725490196078,0.4577777777777778,0.44998706004140787,0.6370074074074075,0.6531360149383545,,,,
polynomial,50.0,3.1,6.423595190048218,1.8802270889282227,50,Random Forest,0.6376470588235295,0.48,0.46479537534503784,0.6634666666666668,0.4640955924987793,,,,
polynomial,50.0,3.1,6.423595190048218,1.8802270889282227,50,MLP,0.6109803921568627,0.4577777777777778,0.44244250834546445,0.6208148148148148,0.8342509269714355,,,,
polynomial,100.0,3.1,6.2495057582855225,2.9338464736938477,100,SVM (RBF),0.636078431372549,0.44,0.42825009716284496,0.6237037037037038,0.9984877109527588,,,,
polynomial,100.0,3.1,6.2495057582855225,2.9338464736938477,100,Random Forest,0.6376470588235295,0.49777777777777776,0.4837835367833225,0.6620148148148147,0.5060510635375977,,,,
polynomial,100.0,3.1,6.2495057582855225,2.9338464736938477,100,MLP,0.6149019607843137,0.4266666666666667,0.4193859336597117,0.5990518518518518,0.7152829170227051,,,,
polynomial,200.0,3.1,6.727382183074951,5.041085243225098,200,SVM (RBF),0.6376470588235295,0.48444444444444446,0.47243826738563577,0.6247111111111111,1.8749232292175293,,,,
polynomial,200.0,3.1,6.727382183074951,5.041085243225098,200,Random Forest,0.6376470588235295,0.4888888888888889,0.47113061968495673,0.6706666666666665,0.49965572357177734,,,,
polynomial,200.0,3.1,6.727382183074951,5.041085243225098,200,MLP,0.6250980392156863,0.48,0.46176649166041644,0.6290962962962964,0.8751378059387207,,,,
naive_hybrid,,,,,150,SVM (RBF),0.6415686274509804,0.4577777777777778,0.4447373737373737,0.6187851851851851,1.448206901550293,50.0,3.5,100.0,3.1
naive_hybrid,,,,,150,Random Forest,0.6525490196078432,0.48444444444444446,0.47065506128695084,0.6639703703703704,0.4975006580352783,50.0,3.5,100.0,3.1
naive_hybrid,,,,,150,MLP,0.5513725490196079,0.44,0.4339730151050906,0.6310518518518518,0.3046908378601074,50.0,3.5,100.0,3.1
