classifier,accuracy,f1_score,auc,train_time,inference_time,embedding_dim,generation_time,memory_mb
SVM (RBF),0.2777777777777778,0.23150478447656725,0.6308888888888889,0.09058523178100586,0.0059430599212646484,50,1.6291313171386719,6.26816463470459
SVM (Linear),0.22777777777777777,0.22606152430874124,0.5585925925925926,25.29598641395569,0.0029289722442626953,50,1.6291313171386719,6.26816463470459
MLP,0.2833333333333333,0.27840162700456994,0.5923333333333334,2.863844394683838,0.0007343292236328125,50,1.6291313171386719,6.26816463470459
Random Forest,0.35,0.34491015738089303,0.7103518518518519,0.13221240043640137,0.0060002803802490234,50,1.6291313171386719,6.26816463470459
SVM (RBF),0.2777777777777778,0.22131316077420501,0.6229259259259259,0.17625808715820312,0.012092828750610352,100,1.5916895866394043,1.643838882446289
SVM (Linear),0.2222222222222222,0.22448239458393732,0.5668148148148149,0.5529124736785889,0.006102561950683594,100,1.5916895866394043,1.643838882446289
MLP,0.2833333333333333,0.2832627822026218,0.6023703703703703,3.043374538421631,0.0009734630584716797,100,1.5916895866394043,1.643838882446289
Random Forest,0.4111111111111111,0.4078701777500404,0.7086111111111113,0.18480324745178223,0.004547119140625,100,1.5916895866394043,1.643838882446289
SVM (RBF),0.25,0.18110791325077039,0.5904074074074075,0.3942906856536865,0.02857661247253418,200,1.783433198928833,2.3442182540893555
SVM (Linear),0.18333333333333332,0.1858141858141858,0.5017777777777778,0.3675360679626465,0.01572442054748535,200,1.783433198928833,2.3442182540893555
MLP,0.26666666666666666,0.26653540071709314,0.5792962962962963,3.1029438972473145,0.0014412403106689453,200,1.783433198928833,2.3442182540893555
Random Forest,0.3888888888888889,0.38687329573739304,0.6900740740740741,0.1542186737060547,0.004967689514160156,200,1.783433198928833,2.3442182540893555
SVM (RBF),0.24444444444444444,0.16667160260951908,0.5796296296296295,0.5188300609588623,0.03634285926818848,300,1.7780539989471436,3.0568037033081055
SVM (Linear),0.2111111111111111,0.21229604771706614,0.5259259259259259,0.464186429977417,0.022194385528564453,300,1.7780539989471436,3.0568037033081055
MLP,0.26666666666666666,0.26675225484448534,0.5689259259259258,3.1903417110443115,0.001978635787963867,300,1.7780539989471436,3.0568037033081055
Random Forest,0.3333333333333333,0.32726250357829306,0.6647592592592593,0.16735053062438965,0.00616908073425293,300,1.7780539989471436,3.0568037033081055
SVM (RBF),0.23333333333333334,0.14070860623771717,0.5694074074074074,0.9412782192230225,0.0627281665802002,500,1.6516191959381104,4.69503116607666
SVM (Linear),0.2222222222222222,0.223332385591249,0.5367407407407409,0.8447935581207275,0.039751529693603516,500,1.6516191959381104,4.69503116607666
MLP,0.2388888888888889,0.23463262814395675,0.5693703703703703,3.915271520614624,0.0034754276275634766,500,1.6516191959381104,4.69503116607666
Random Forest,0.32222222222222224,0.32296549868865454,0.6642407407407407,0.18703722953796387,0.0058667659759521484,500,1.6516191959381104,4.69503116607666
