classifier,accuracy,f1_score,auc,train_time,inference_time,embedding_dim,generation_time,memory_mb
SVM (RBF),0.43333333333333335,0.4137703559000292,0.6063555555555555,0.5290727615356445,0.04026055335998535,50,3.6043200492858887,7.0307111740112305
SVM (Linear),0.36666666666666664,0.2886004556821849,0.5676296296296296,0.4144744873046875,0.020183563232421875,50,3.6043200492858887,7.0307111740112305
Logistic Regression,0.43777777777777777,0.4244978788453408,0.5911111111111111,0.01510930061340332,0.00018596649169921875,50,3.6043200492858887,7.0307111740112305
MLP,0.41333333333333333,0.4058608439361557,0.6165407407407407,0.5318479537963867,0.002052783966064453,50,3.6043200492858887,7.0307111740112305
Random Forest,0.4955555555555556,0.48429004182460944,0.6577703703703703,0.22414660453796387,0.013692140579223633,50,3.6043200492858887,7.0307111740112305
SVM (RBF),0.43333333333333335,0.4143632115205719,0.6066592592592591,0.8238592147827148,0.0708160400390625,100,3.315845012664795,2.6755456924438477
SVM (Linear),0.38,0.29679459325118457,0.5749481481481481,0.7502048015594482,0.035643815994262695,100,3.315845012664795,2.6755456924438477
Logistic Regression,0.4288888888888889,0.41867380766708834,0.5947481481481481,0.03009176254272461,0.00027751922607421875,100,3.315845012664795,2.6755456924438477
MLP,0.37777777777777777,0.3073930093776641,0.5336888888888889,0.30382442474365234,0.0038805007934570312,100,3.315845012664795,2.6755456924438477
Random Forest,0.4955555555555556,0.4809871731627752,0.659562962962963,0.24634361267089844,0.013033390045166016,100,3.315845012664795,2.6755456924438477
SVM (RBF),0.45555555555555555,0.42560499117470346,0.6037185185185184,1.8943498134613037,0.15363836288452148,200,3.229337215423584,4.964058876037598
SVM (Linear),0.4,0.35040889573306966,0.6088296296296296,1.5178093910217285,0.0870053768157959,200,3.229337215423584,4.964058876037598
Logistic Regression,0.4688888888888889,0.44300632657521205,0.6070740740740741,0.06037592887878418,0.0004684925079345703,200,3.229337215423584,4.964058876037598
MLP,0.4777777777777778,0.45281217976870153,0.6402592592592593,1.238478183746338,0.004840850830078125,200,3.229337215423584,4.964058876037598
Random Forest,0.4777777777777778,0.45801762842263555,0.6555037037037037,0.2218780517578125,0.012877702713012695,200,3.229337215423584,4.964058876037598
SVM (RBF),0.37333333333333335,0.32547699214365877,0.6113037037037037,3.3123233318328857,0.2707345485687256,400,3.4841458797454834,9.541695594787598
SVM (Linear),0.45111111111111113,0.4232336392281774,0.5996296296296296,3.090819835662842,0.17220091819763184,400,3.4841458797454834,9.541695594787598
Logistic Regression,0.4488888888888889,0.4231712998978158,0.5928814814814816,0.24619507789611816,0.0008382797241210938,400,3.4841458797454834,9.541695594787598
MLP,0.47333333333333333,0.4543622452449943,0.640362962962963,2.5678024291992188,0.008263826370239258,400,3.4841458797454834,9.541695594787598
Random Forest,0.4888888888888889,0.47335167831756203,0.6584518518518517,0.22456765174865723,0.011608123779296875,400,3.4841458797454834,9.541695594787598
